areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
region,Midlands,E12000004,12/07/2022,46,3780557,254,3621516,375,2911486
region,Midlands,E12000004,11/07/2022,82,3780511,321,3621262,471,2911111
region,Midlands,E12000004,10/07/2022,45,3780429,279,3620941,312,2910640
region,Midlands,E12000004,09/07/2022,141,3780384,843,3620662,563,2910328
region,Midlands,E12000004,08/07/2022,78,3780243,347,3619819,449,2909765
region,Midlands,E12000004,07/07/2022,61,3780165,323,3619472,435,2909316
region,Midlands,E12000004,06/07/2022,67,3780104,435,3619149,543,2908881
region,Midlands,E12000004,05/07/2022,55,3780037,340,3618714,386,2908338
region,Midlands,E12000004,04/07/2022,69,3779982,262,3618374,431,2907952
region,Midlands,E12000004,03/07/2022,52,3779913,307,3618112,278,2907521
region,Midlands,E12000004,02/07/2022,167,3779861,937,3617805,619,2907243
region,Midlands,E12000004,01/07/2022,75,3779694,343,3616868,422,2906624
region,Midlands,E12000004,30/06/2022,69,3779619,296,3616525,544,2906202
region,Midlands,E12000004,29/06/2022,89,3779550,432,3616229,684,2905658
region,Midlands,E12000004,28/06/2022,76,3779461,315,3615797,484,2904974
region,Midlands,E12000004,27/06/2022,100,3779385,332,3615482,623,2904490
region,Midlands,E12000004,26/06/2022,73,3779285,351,3615150,421,2903867
region,Midlands,E12000004,25/06/2022,199,3779212,813,3614799,859,2903446
region,Midlands,E12000004,24/06/2022,92,3779013,338,3613986,591,2902587
region,Midlands,E12000004,23/06/2022,74,3778921,260,3613648,511,2901996
region,Midlands,E12000004,22/06/2022,88,3778847,328,3613388,618,2901485
region,Midlands,E12000004,21/06/2022,72,3778759,291,3613060,471,2900867
region,Midlands,E12000004,20/06/2022,77,3778687,319,3612769,521,2900396
region,Midlands,E12000004,19/06/2022,71,3778610,266,3612450,279,2899875
region,Midlands,E12000004,18/06/2022,168,3778539,686,3612184,665,2899596
region,Midlands,E12000004,17/06/2022,99,3778371,295,3611498,527,2898931
region,Midlands,E12000004,16/06/2022,73,3778272,260,3611203,550,2898404
region,Midlands,E12000004,15/06/2022,118,3778199,340,3610943,617,2897854
region,Midlands,E12000004,14/06/2022,56,3778081,220,3610603,573,2897237
region,Midlands,E12000004,13/06/2022,77,3778025,290,3610383,481,2896664
region,Midlands,E12000004,12/06/2022,74,3777948,296,3610093,435,2896183
region,Midlands,E12000004,11/06/2022,168,3777874,724,3609797,850,2895748
region,Midlands,E12000004,10/06/2022,118,3777706,370,3609073,719,2894898
region,Midlands,E12000004,09/06/2022,74,3777588,260,3608703,564,2894179
region,Midlands,E12000004,08/06/2022,97,3777514,320,3608443,652,2893615
region,Midlands,E12000004,07/06/2022,71,3777417,258,3608123,549,2892963
region,Midlands,E12000004,06/06/2022,103,3777346,314,3607865,577,2892414
region,Midlands,E12000004,05/06/2022,44,3777243,208,3607551,237,2891837
region,Midlands,E12000004,04/06/2022,102,3777199,428,3607343,517,2891600
region,Midlands,E12000004,03/06/2022,9,3777097,46,3606915,93,2891083
region,Midlands,E12000004,02/06/2022,17,3777088,44,3606869,135,2890990
region,Midlands,E12000004,01/06/2022,198,3777071,537,3606825,754,2890855
region,Midlands,E12000004,31/05/2022,146,3776873,497,3606288,773,2890101
region,Midlands,E12000004,30/05/2022,180,3776727,640,3605791,828,2889328
region,Midlands,E12000004,29/05/2022,96,3776547,364,3605151,534,2888500
region,Midlands,E12000004,28/05/2022,202,3776451,766,3604787,891,2887966
region,Midlands,E12000004,27/05/2022,118,3776249,442,3604021,713,2887075
region,Midlands,E12000004,26/05/2022,109,3776131,270,3603579,613,2886362
region,Midlands,E12000004,25/05/2022,114,3776022,352,3603309,773,2885749
region,Midlands,E12000004,24/05/2022,129,3775908,356,3602957,753,2884976
region,Midlands,E12000004,23/05/2022,131,3775779,368,3602601,660,2884223
region,Midlands,E12000004,22/05/2022,100,3775648,236,3602233,527,2883563
region,Midlands,E12000004,21/05/2022,223,3775548,654,3601997,968,2883036
region,Midlands,E12000004,20/05/2022,170,3775325,536,3601343,927,2882068
region,Midlands,E12000004,19/05/2022,122,3775155,276,3600807,764,2881141
region,Midlands,E12000004,18/05/2022,171,3775033,476,3600531,920,2880377
region,Midlands,E12000004,17/05/2022,124,3774862,412,3600055,825,2879457
region,Midlands,E12000004,16/05/2022,174,3774738,374,3599643,762,2878632
region,Midlands,E12000004,15/05/2022,146,3774564,493,3599269,629,2877870
region,Midlands,E12000004,14/05/2022,224,3774418,768,3598776,1053,2877241
region,Midlands,E12000004,13/05/2022,173,3774194,486,3598008,937,2876188
region,Midlands,E12000004,12/05/2022,171,3774021,430,3597522,836,2875251
region,Midlands,E12000004,11/05/2022,168,3773850,481,3597092,943,2874415
region,Midlands,E12000004,10/05/2022,168,3773682,517,3596611,997,2873472
region,Midlands,E12000004,09/05/2022,197,3773514,606,3596094,784,2872475
region,Midlands,E12000004,08/05/2022,154,3773317,497,3595488,683,2871691
region,Midlands,E12000004,07/05/2022,332,3773163,885,3594991,1143,2871008
region,Midlands,E12000004,06/05/2022,223,3772831,630,3594106,1081,2869865
region,Midlands,E12000004,05/05/2022,179,3772608,424,3593476,1010,2868784
region,Midlands,E12000004,04/05/2022,254,3772429,610,3593052,991,2867774
region,Midlands,E12000004,03/05/2022,170,3772175,400,3592442,842,2866783
region,Midlands,E12000004,02/05/2022,82,3772005,259,3592042,303,2865941
region,Midlands,E12000004,01/05/2022,201,3771923,526,3591783,572,2865638
region,Midlands,E12000004,30/04/2022,369,3771722,993,3591257,1298,2865066
region,Midlands,E12000004,29/04/2022,245,3771353,699,3590264,1176,2863768
region,Midlands,E12000004,28/04/2022,195,3771108,410,3589565,974,2862592
region,Midlands,E12000004,27/04/2022,258,3770913,582,3589155,1063,2861618
region,Midlands,E12000004,26/04/2022,215,3770655,527,3588573,962,2860555
region,Midlands,E12000004,25/04/2022,222,3770440,545,3588046,859,2859593
region,Midlands,E12000004,24/04/2022,285,3770218,774,3587501,854,2858734
region,Midlands,E12000004,23/04/2022,370,3769933,995,3586727,1146,2857880
region,Midlands,E12000004,22/04/2022,325,3769563,869,3585732,1110,2856734
region,Midlands,E12000004,21/04/2022,361,3769238,693,3584863,1064,2855624
