areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
nhsRegion,Midlands,E40000008,11/07/2022,428,155627
nhsRegion,Midlands,E40000008,10/07/2022,375,155199
nhsRegion,Midlands,E40000008,09/07/2022,314,154824
nhsRegion,Midlands,E40000008,08/07/2022,365,154510
nhsRegion,Midlands,E40000008,07/07/2022,421,154145
nhsRegion,Midlands,E40000008,06/07/2022,390,153724
nhsRegion,Midlands,E40000008,05/07/2022,384,153334
nhsRegion,Midlands,E40000008,04/07/2022,368,152950
nhsRegion,Midlands,E40000008,03/07/2022,321,152582
nhsRegion,Midlands,E40000008,02/07/2022,258,152261
nhsRegion,Midlands,E40000008,01/07/2022,284,152003
nhsRegion,Midlands,E40000008,30/06/2022,329,151719
nhsRegion,Midlands,E40000008,29/06/2022,301,151390
nhsRegion,Midlands,E40000008,28/06/2022,330,151089
nhsRegion,Midlands,E40000008,27/06/2022,284,150759
nhsRegion,Midlands,E40000008,26/06/2022,248,150475
nhsRegion,Midlands,E40000008,25/06/2022,207,150227
nhsRegion,Midlands,E40000008,24/06/2022,223,150020
nhsRegion,Midlands,E40000008,23/06/2022,236,149797
nhsRegion,Midlands,E40000008,22/06/2022,202,149561
nhsRegion,Midlands,E40000008,21/06/2022,220,149359
nhsRegion,Midlands,E40000008,20/06/2022,225,149139
nhsRegion,Midlands,E40000008,19/06/2022,163,148914
nhsRegion,Midlands,E40000008,18/06/2022,157,148751
nhsRegion,Midlands,E40000008,17/06/2022,162,148594
nhsRegion,Midlands,E40000008,16/06/2022,174,148432
nhsRegion,Midlands,E40000008,15/06/2022,151,148258
nhsRegion,Midlands,E40000008,14/06/2022,151,148107
nhsRegion,Midlands,E40000008,13/06/2022,138,147956
nhsRegion,Midlands,E40000008,12/06/2022,94,147818
nhsRegion,Midlands,E40000008,11/06/2022,118,147724
nhsRegion,Midlands,E40000008,10/06/2022,128,147606
nhsRegion,Midlands,E40000008,09/06/2022,123,147478
nhsRegion,Midlands,E40000008,08/06/2022,107,147355
nhsRegion,Midlands,E40000008,07/06/2022,113,147248
nhsRegion,Midlands,E40000008,06/06/2022,98,147135
nhsRegion,Midlands,E40000008,05/06/2022,92,147037
nhsRegion,Midlands,E40000008,04/06/2022,85,146945
nhsRegion,Midlands,E40000008,03/06/2022,77,146860
nhsRegion,Midlands,E40000008,02/06/2022,92,146783
nhsRegion,Midlands,E40000008,01/06/2022,98,146691
nhsRegion,Midlands,E40000008,31/05/2022,93,146593
nhsRegion,Midlands,E40000008,30/05/2022,92,146500
nhsRegion,Midlands,E40000008,29/05/2022,98,146408
nhsRegion,Midlands,E40000008,28/05/2022,83,146310
nhsRegion,Midlands,E40000008,27/05/2022,86,146227
nhsRegion,Midlands,E40000008,26/05/2022,74,146141
nhsRegion,Midlands,E40000008,25/05/2022,92,146067
nhsRegion,Midlands,E40000008,24/05/2022,96,145975
nhsRegion,Midlands,E40000008,23/05/2022,112,145879
nhsRegion,Midlands,E40000008,22/05/2022,83,145767
nhsRegion,Midlands,E40000008,21/05/2022,70,145684
nhsRegion,Midlands,E40000008,20/05/2022,83,145614
nhsRegion,Midlands,E40000008,19/05/2022,101,145531
nhsRegion,Midlands,E40000008,18/05/2022,114,145430
nhsRegion,Midlands,E40000008,17/05/2022,123,145316
nhsRegion,Midlands,E40000008,16/05/2022,106,145193
nhsRegion,Midlands,E40000008,15/05/2022,96,145087
nhsRegion,Midlands,E40000008,14/05/2022,105,144991
nhsRegion,Midlands,E40000008,13/05/2022,116,144886
nhsRegion,Midlands,E40000008,12/05/2022,145,144770
nhsRegion,Midlands,E40000008,11/05/2022,139,144625
nhsRegion,Midlands,E40000008,10/05/2022,145,144486
nhsRegion,Midlands,E40000008,09/05/2022,139,144341
nhsRegion,Midlands,E40000008,08/05/2022,102,144202
nhsRegion,Midlands,E40000008,07/05/2022,110,144100
nhsRegion,Midlands,E40000008,06/05/2022,138,143990
nhsRegion,Midlands,E40000008,05/05/2022,161,143852
nhsRegion,Midlands,E40000008,04/05/2022,158,143691
nhsRegion,Midlands,E40000008,03/05/2022,160,143533
nhsRegion,Midlands,E40000008,02/05/2022,152,143373
nhsRegion,Midlands,E40000008,01/05/2022,177,143221
nhsRegion,Midlands,E40000008,30/04/2022,150,143044
nhsRegion,Midlands,E40000008,29/04/2022,170,142894
nhsRegion,Midlands,E40000008,28/04/2022,188,142724
nhsRegion,Midlands,E40000008,27/04/2022,219,142536
nhsRegion,Midlands,E40000008,26/04/2022,220,142317
nhsRegion,Midlands,E40000008,25/04/2022,203,142097
nhsRegion,Midlands,E40000008,24/04/2022,210,141894
nhsRegion,Midlands,E40000008,23/04/2022,233,141684
nhsRegion,Midlands,E40000008,22/04/2022,250,141451
nhsRegion,Midlands,E40000008,21/04/2022,241,141201
nhsRegion,Midlands,E40000008,20/04/2022,265,140960
nhsRegion,Midlands,E40000008,19/04/2022,290,140695
nhsRegion,Midlands,E40000008,18/04/2022,290,140405
nhsRegion,Midlands,E40000008,17/04/2022,267,140115
nhsRegion,Midlands,E40000008,16/04/2022,246,139848
nhsRegion,Midlands,E40000008,15/04/2022,315,139602
nhsRegion,Midlands,E40000008,14/04/2022,334,139287
nhsRegion,Midlands,E40000008,13/04/2022,400,138953
nhsRegion,Midlands,E40000008,12/04/2022,408,138553
nhsRegion,Midlands,E40000008,11/04/2022,414,138145
nhsRegion,Midlands,E40000008,10/04/2022,383,137731
nhsRegion,Midlands,E40000008,09/04/2022,355,137348
nhsRegion,Midlands,E40000008,08/04/2022,363,136993
nhsRegion,Midlands,E40000008,07/04/2022,414,136630
nhsRegion,Midlands,E40000008,06/04/2022,443,136216
nhsRegion,Midlands,E40000008,05/04/2022,451,135773
nhsRegion,Midlands,E40000008,04/04/2022,423,135322
nhsRegion,Midlands,E40000008,03/04/2022,366,134899
nhsRegion,Midlands,E40000008,02/04/2022,348,134533
nhsRegion,Midlands,E40000008,01/04/2022,376,134185
nhsRegion,Midlands,E40000008,31/03/2022,438,133809
nhsRegion,Midlands,E40000008,30/03/2022,473,133371
nhsRegion,Midlands,E40000008,29/03/2022,373,132898
nhsRegion,Midlands,E40000008,28/03/2022,426,132525
nhsRegion,Midlands,E40000008,27/03/2022,385,132099
nhsRegion,Midlands,E40000008,26/03/2022,327,131714
nhsRegion,Midlands,E40000008,25/03/2022,334,131387
nhsRegion,Midlands,E40000008,24/03/2022,391,131053
nhsRegion,Midlands,E40000008,23/03/2022,389,130662
nhsRegion,Midlands,E40000008,22/03/2022,443,130273
nhsRegion,Midlands,E40000008,21/03/2022,320,129830
nhsRegion,Midlands,E40000008,20/03/2022,315,129510
nhsRegion,Midlands,E40000008,19/03/2022,327,129195
nhsRegion,Midlands,E40000008,18/03/2022,311,128868
nhsRegion,Midlands,E40000008,17/03/2022,286,128557
nhsRegion,Midlands,E40000008,16/03/2022,281,128271
nhsRegion,Midlands,E40000008,15/03/2022,285,127990
nhsRegion,Midlands,E40000008,14/03/2022,294,127705
nhsRegion,Midlands,E40000008,13/03/2022,265,127411
