areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
overview,United Kingdom,K02000001,2022-05-19,6818,22243056,5622,21054108,1196,1188948
overview,United Kingdom,K02000001,2022-05-18,7634,22236238,6364,21048486,1270,1187752
overview,United Kingdom,K02000001,2022-05-17,8283,22228604,6899,21042122,1384,1186482
overview,United Kingdom,K02000001,2022-05-16,9416,22220321,7741,21035223,1675,1185098
overview,United Kingdom,K02000001,2022-05-15,7969,22210905,6683,21027482,1286,1183423
overview,United Kingdom,K02000001,2022-05-14,6116,22202936,5155,21020799,961,1182137
overview,United Kingdom,K02000001,2022-05-13,6934,22196820,5883,21015644,1051,1181176
overview,United Kingdom,K02000001,2022-05-12,7633,22189886,6428,21009761,1205,1180125
overview,United Kingdom,K02000001,2022-05-11,8720,22182253,7302,21003333,1418,1178920
overview,United Kingdom,K02000001,2022-05-10,9742,22173533,8133,20996031,1609,1177502
overview,United Kingdom,K02000001,2022-05-09,10693,22163791,8900,20987898,1793,1175893
overview,United Kingdom,K02000001,2022-05-08,9059,22153098,7601,20978998,1458,1174100
overview,United Kingdom,K02000001,2022-05-07,7516,22144039,6437,20971397,1079,1172642
overview,United Kingdom,K02000001,2022-05-06,8940,22136523,7591,20964960,1349,1171563
overview,United Kingdom,K02000001,2022-05-05,10209,22127583,8595,20957369,1614,1170214
overview,United Kingdom,K02000001,2022-05-04,11663,22117374,9845,20948774,1818,1168600
overview,United Kingdom,K02000001,2022-05-03,13308,22105711,11156,20938929,2152,1166782
overview,United Kingdom,K02000001,2022-05-02,11886,22092403,10056,20927773,1830,1164630
overview,United Kingdom,K02000001,2022-05-01,9026,22080517,7772,20917717,1254,1162800
overview,United Kingdom,K02000001,2022-04-30,8355,22071491,7239,20909945,1116,1161546
overview,United Kingdom,K02000001,2022-04-29,10005,22063136,8624,20902706,1381,1160430
overview,United Kingdom,K02000001,2022-04-28,11599,22053131,9905,20894082,1694,1159049
overview,United Kingdom,K02000001,2022-04-27,13047,22041532,11142,20884177,1905,1157355
overview,United Kingdom,K02000001,2022-04-26,14560,22028485,12462,20873035,2098,1155450
overview,United Kingdom,K02000001,2022-04-25,17121,22013925,14452,20860573,2669,1153352
overview,United Kingdom,K02000001,2022-04-24,14716,21996804,12702,20846121,2014,1150683
overview,United Kingdom,K02000001,2022-04-23,13205,21982088,11608,20833419,1597,1148669
overview,United Kingdom,K02000001,2022-04-22,15695,21968883,13593,20821811,2102,1147072
overview,United Kingdom,K02000001,2022-04-21,18460,21953188,16018,20808218,2442,1144970
overview,United Kingdom,K02000001,2022-04-20,21445,21934728,18666,20792200,2779,1142528
overview,United Kingdom,K02000001,2022-04-19,25764,21913283,22230,20773534,3534,1139749
overview,United Kingdom,K02000001,2022-04-18,25213,21887519,21958,20751304,3255,1136215
overview,United Kingdom,K02000001,2022-04-17,20144,21862306,17845,20729346,2299,1132960
overview,United Kingdom,K02000001,2022-04-16,19917,21842162,17790,20711501,2127,1130661
overview,United Kingdom,K02000001,2022-04-15,21610,21822245,19215,20693711,2395,1128534
overview,United Kingdom,K02000001,2022-04-14,26638,21800635,23602,20674496,3036,1126139
overview,United Kingdom,K02000001,2022-04-13,31684,21773997,28121,20650894,3563,1123103
overview,United Kingdom,K02000001,2022-04-12,33767,21742313,29813,20622773,3954,1119540
overview,United Kingdom,K02000001,2022-04-11,37367,21708546,32867,20592960,4500,1115586
overview,United Kingdom,K02000001,2022-04-10,30946,21671179,27578,20560093,3368,1111086
overview,United Kingdom,K02000001,2022-04-09,27877,21640233,24833,20532515,3044,1107718
overview,United Kingdom,K02000001,2022-04-08,32980,21612356,29249,20507682,3731,1104674
overview,United Kingdom,K02000001,2022-04-07,38703,21579376,34159,20478433,4544,1100943
overview,United Kingdom,K02000001,2022-04-06,44742,21540673,39525,20444274,5217,1096399
overview,United Kingdom,K02000001,2022-04-05,49096,21495931,43473,20404749,5623,1091182
overview,United Kingdom,K02000001,2022-04-04,53760,21446835,47406,20361276,6354,1085559
overview,United Kingdom,K02000001,2022-04-03,42191,21393075,37606,20313870,4585,1079205
overview,United Kingdom,K02000001,2022-04-02,37601,21350884,33604,20276264,3997,1074620
overview,United Kingdom,K02000001,2022-04-01,47494,21313283,42289,20242660,5205,1070623
overview,United Kingdom,K02000001,2022-03-31,54808,21265789,48611,20200371,6197,1065418
overview,United Kingdom,K02000001,2022-03-30,73681,21210981,65007,20151760,8674,1059221
overview,United Kingdom,K02000001,2022-03-29,80166,21137300,70650,20086753,9516,1050547
overview,United Kingdom,K02000001,2022-03-28,92915,21057134,81541,20016103,11374,1041031
overview,United Kingdom,K02000001,2022-03-27,68348,20964219,60611,19934562,7737,1029657
overview,United Kingdom,K02000001,2022-03-26,61460,20895871,54969,19873951,6491,1021920
overview,United Kingdom,K02000001,2022-03-25,72454,20834411,64443,19818982,8011,1015429
overview,United Kingdom,K02000001,2022-03-24,82926,20761957,73646,19754539,9280,1007418
overview,United Kingdom,K02000001,2022-03-23,94211,20679031,83474,19680893,10737,998138
overview,United Kingdom,K02000001,2022-03-22,99132,20584820,87783,19597419,11349,987401
overview,United Kingdom,K02000001,2022-03-21,109325,20485688,96431,19509636,12894,976052
overview,United Kingdom,K02000001,2022-03-20,81076,20376363,72209,19413205,8867,963158
overview,United Kingdom,K02000001,2022-03-19,67435,20295287,60615,19340996,6820,954291
overview,United Kingdom,K02000001,2022-03-18,75305,20227852,67412,19280381,7893,947471
overview,United Kingdom,K02000001,2022-03-17,82884,20152547,73952,19212969,8932,939578
overview,United Kingdom,K02000001,2022-03-16,91795,20069663,81913,19139017,9882,930646
overview,United Kingdom,K02000001,2022-03-15,93702,19977868,83676,19057104,10026,920764
overview,United Kingdom,K02000001,2022-03-14,99866,19884166,88979,18973428,10887,910738
overview,United Kingdom,K02000001,2022-03-13,75753,19784300,67836,18884449,7917,899851
overview,United Kingdom,K02000001,2022-03-12,62078,19708547,55921,18816613,6157,891934
overview,United Kingdom,K02000001,2022-03-11,67060,19646469,60393,18760692,6667,885777
overview,United Kingdom,K02000001,2022-03-10,70530,19579409,63284,18700299,7246,879110
overview,United Kingdom,K02000001,2022-03-09,73555,19508879,66053,18637015,7502,871864
overview,United Kingdom,K02000001,2022-03-08,70129,19435324,62969,18570962,7160,864362
overview,United Kingdom,K02000001,2022-03-07,68546,19365195,61154,18507993,7392,857202
overview,United Kingdom,K02000001,2022-03-06,49029,19296649,44200,18446839,4829,849810
overview,United Kingdom,K02000001,2022-03-05,38755,19247620,35193,18402639,3562,844981
overview,United Kingdom,K02000001,2022-03-04,41406,19208865,37419,18367446,3987,841419
overview,United Kingdom,K02000001,2022-03-03,43760,19167459,39530,18330027,4230,837432
overview,United Kingdom,K02000001,2022-03-02,46170,19123699,41612,18290497,4558,833202
overview,United Kingdom,K02000001,2022-03-01,44793,19077529,40543,18248885,4250,828644
overview,United Kingdom,K02000001,2022-02-28,44640,19032736,40327,18208342,4313,824394
overview,United Kingdom,K02000001,2022-02-27,31364,18988096,28537,18168015,2827,820081
overview,United Kingdom,K02000001,2022-02-26,25096,18956732,22959,18139478,2137,817254
overview,United Kingdom,K02000001,2022-02-25,27841,18931636,25293,18116519,2548,815117
overview,United Kingdom,K02000001,2022-02-24,30631,18903795,27738,18091226,2893,812569
overview,United Kingdom,K02000001,2022-02-23,36476,18873164,33036,18063488,3440,809676
overview,United Kingdom,K02000001,2022-02-22,39183,18836688,35420,18030452,3763,806236
overview,United Kingdom,K02000001,2022-02-21,45124,18797505,40834,17995032,4290,802473
overview,United Kingdom,K02000001,2022-02-20,37715,18752381,34343,17954198,3372,798183
overview,United Kingdom,K02000001,2022-02-19,34648,18714666,31612,17919855,3036,794811
overview,United Kingdom,K02000001,2022-02-18,33238,18680018,30223,17888243,3015,791775
overview,United Kingdom,K02000001,2022-02-17,44715,18646780,40443,17858020,4272,788760
overview,United Kingdom,K02000001,2022-02-16,51568,18602065,46725,17817577,4843,784488
overview,United Kingdom,K02000001,2022-02-15,52496,18550497,47525,17770852,4971,779645
overview,United Kingdom,K02000001,2022-02-14,54743,18498001,49544,17723327,5199,774674
overview,United Kingdom,K02000001,2022-02-13,41750,18443258,37957,17673783,3793,769475
overview,United Kingdom,K02000001,2022-02-12,37433,18401508,34169,17635826,3264,765682
overview,United Kingdom,K02000001,2022-02-11,44558,18364075,40499,17601657,4059,762418
overview,United Kingdom,K02000001,2022-02-10,52292,18319517,47152,17561158,5140,758359
overview,United Kingdom,K02000001,2022-02-09,64330,18267225,57975,17514006,6355,753219
overview,United Kingdom,K02000001,2022-02-08,69652,18202895,62792,17456031,6860,746864
