areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
overview,United Kingdom,K02000001,01/07/2022,22,200247
overview,United Kingdom,K02000001,30/06/2022,32,200225
overview,United Kingdom,K02000001,29/06/2022,47,200193
overview,United Kingdom,K02000001,28/06/2022,41,200146
overview,United Kingdom,K02000001,27/06/2022,44,200105
overview,United Kingdom,K02000001,26/06/2022,50,200061
overview,United Kingdom,K02000001,25/06/2022,58,200011
overview,United Kingdom,K02000001,24/06/2022,40,199953
overview,United Kingdom,K02000001,23/06/2022,51,199913
overview,United Kingdom,K02000001,22/06/2022,62,199862
overview,United Kingdom,K02000001,21/06/2022,49,199800
overview,United Kingdom,K02000001,20/06/2022,43,199751
overview,United Kingdom,K02000001,19/06/2022,42,199708
overview,United Kingdom,K02000001,18/06/2022,40,199666
overview,United Kingdom,K02000001,17/06/2022,40,199626
overview,United Kingdom,K02000001,16/06/2022,50,199586
overview,United Kingdom,K02000001,15/06/2022,43,199536
overview,United Kingdom,K02000001,14/06/2022,35,199493
overview,United Kingdom,K02000001,13/06/2022,38,199458
overview,United Kingdom,K02000001,12/06/2022,42,199420
overview,United Kingdom,K02000001,11/06/2022,33,199378
overview,United Kingdom,K02000001,10/06/2022,41,199345
overview,United Kingdom,K02000001,09/06/2022,26,199304
overview,United Kingdom,K02000001,08/06/2022,39,199278
overview,United Kingdom,K02000001,07/06/2022,30,199239
overview,United Kingdom,K02000001,06/06/2022,39,199209
overview,United Kingdom,K02000001,05/06/2022,30,199170
overview,United Kingdom,K02000001,04/06/2022,36,199140
overview,United Kingdom,K02000001,03/06/2022,26,199104
overview,United Kingdom,K02000001,02/06/2022,46,199078
overview,United Kingdom,K02000001,01/06/2022,26,199032
overview,United Kingdom,K02000001,31/05/2022,47,199006
overview,United Kingdom,K02000001,30/05/2022,49,198959
overview,United Kingdom,K02000001,29/05/2022,25,198910
overview,United Kingdom,K02000001,28/05/2022,33,198885
overview,United Kingdom,K02000001,27/05/2022,42,198852
overview,United Kingdom,K02000001,26/05/2022,42,198810
overview,United Kingdom,K02000001,25/05/2022,33,198768
overview,United Kingdom,K02000001,24/05/2022,49,198735
overview,United Kingdom,K02000001,23/05/2022,61,198686
overview,United Kingdom,K02000001,22/05/2022,56,198625
overview,United Kingdom,K02000001,21/05/2022,48,198569
overview,United Kingdom,K02000001,20/05/2022,69,198521
overview,United Kingdom,K02000001,19/05/2022,44,198452
overview,United Kingdom,K02000001,18/05/2022,45,198408
overview,United Kingdom,K02000001,17/05/2022,71,198363
overview,United Kingdom,K02000001,16/05/2022,63,198292
overview,United Kingdom,K02000001,15/05/2022,69,198229
overview,United Kingdom,K02000001,14/05/2022,63,198160
overview,United Kingdom,K02000001,13/05/2022,68,198097
overview,United Kingdom,K02000001,12/05/2022,65,198029
overview,United Kingdom,K02000001,11/05/2022,77,197964
overview,United Kingdom,K02000001,10/05/2022,93,197887
overview,United Kingdom,K02000001,09/05/2022,79,197794
overview,United Kingdom,K02000001,08/05/2022,80,197715
overview,United Kingdom,K02000001,07/05/2022,97,197635
overview,United Kingdom,K02000001,06/05/2022,91,197538
overview,United Kingdom,K02000001,05/05/2022,83,197447
overview,United Kingdom,K02000001,04/05/2022,88,197364
overview,United Kingdom,K02000001,03/05/2022,102,197276
overview,United Kingdom,K02000001,02/05/2022,105,197174
overview,United Kingdom,K02000001,01/05/2022,109,197069
overview,United Kingdom,K02000001,30/04/2022,105,196960
overview,United Kingdom,K02000001,29/04/2022,104,196855
overview,United Kingdom,K02000001,28/04/2022,127,196751
overview,United Kingdom,K02000001,27/04/2022,128,196624
overview,United Kingdom,K02000001,26/04/2022,120,196496
overview,United Kingdom,K02000001,25/04/2022,126,196376
