areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate
overview,United Kingdom,K02000001,06/07/2022,2785,53639145
overview,United Kingdom,K02000001,05/07/2022,3096,53636360
overview,United Kingdom,K02000001,04/07/2022,3545,53633264
overview,United Kingdom,K02000001,03/07/2022,3949,53629719
overview,United Kingdom,K02000001,02/07/2022,8028,53625770
overview,United Kingdom,K02000001,01/07/2022,3333,53617742
overview,United Kingdom,K02000001,30/06/2022,3571,53614409
overview,United Kingdom,K02000001,29/06/2022,3125,53610838
overview,United Kingdom,K02000001,28/06/2022,3617,53607713
overview,United Kingdom,K02000001,27/06/2022,2924,53604096
overview,United Kingdom,K02000001,26/06/2022,5180,53601172
overview,United Kingdom,K02000001,25/06/2022,11549,53595992
overview,United Kingdom,K02000001,24/06/2022,4029,53584443
overview,United Kingdom,K02000001,23/06/2022,3100,53580414
overview,United Kingdom,K02000001,22/06/2022,3218,53577314
overview,United Kingdom,K02000001,21/06/2022,3353,53574096
overview,United Kingdom,K02000001,20/06/2022,2405,53570743
overview,United Kingdom,K02000001,19/06/2022,4656,53568338
overview,United Kingdom,K02000001,18/06/2022,9549,53563682
overview,United Kingdom,K02000001,17/06/2022,3354,53554133
overview,United Kingdom,K02000001,16/06/2022,3029,53550779
overview,United Kingdom,K02000001,15/06/2022,3133,53547750
overview,United Kingdom,K02000001,14/06/2022,2177,53544617
overview,United Kingdom,K02000001,13/06/2022,2470,53542440
overview,United Kingdom,K02000001,12/06/2022,5010,53539970
overview,United Kingdom,K02000001,11/06/2022,11349,53534960
overview,United Kingdom,K02000001,10/06/2022,3571,53523611
overview,United Kingdom,K02000001,09/06/2022,3561,53520040
overview,United Kingdom,K02000001,08/06/2022,4891,53516479
overview,United Kingdom,K02000001,07/06/2022,3335,53511588
overview,United Kingdom,K02000001,06/06/2022,2828,53508253
overview,United Kingdom,K02000001,05/06/2022,2628,53505425
overview,United Kingdom,K02000001,04/06/2022,5621,53502797
overview,United Kingdom,K02000001,03/06/2022,1033,53497176
overview,United Kingdom,K02000001,02/06/2022,2266,53496143
overview,United Kingdom,K02000001,01/06/2022,6970,53493877
overview,United Kingdom,K02000001,31/05/2022,7650,53486907
overview,United Kingdom,K02000001,30/05/2022,6769,53479257
overview,United Kingdom,K02000001,29/05/2022,6018,53472488
overview,United Kingdom,K02000001,28/05/2022,12568,53466470
overview,United Kingdom,K02000001,27/05/2022,5192,53453902
overview,United Kingdom,K02000001,26/05/2022,3608,53448710
overview,United Kingdom,K02000001,25/05/2022,386,53445102
overview,United Kingdom,K02000001,24/05/2022,4746,53444716
overview,United Kingdom,K02000001,23/05/2022,3323,53439970
overview,United Kingdom,K02000001,22/05/2022,6519,53436647
overview,United Kingdom,K02000001,21/05/2022,16176,53430128
overview,United Kingdom,K02000001,20/05/2022,6503,53413952
overview,United Kingdom,K02000001,19/05/2022,8931,53407449
overview,United Kingdom,K02000001,18/05/2022,5365,53398518
overview,United Kingdom,K02000001,17/05/2022,5431,53393153
overview,United Kingdom,K02000001,16/05/2022,4774,53387722
overview,United Kingdom,K02000001,15/05/2022,10090,53382948
overview,United Kingdom,K02000001,14/05/2022,20462,53372858
overview,United Kingdom,K02000001,13/05/2022,7513,53352396
overview,United Kingdom,K02000001,12/05/2022,7488,53344883
overview,United Kingdom,K02000001,11/05/2022,6801,53337395
overview,United Kingdom,K02000001,10/05/2022,7224,53330594
overview,United Kingdom,K02000001,09/05/2022,5910,53323370
overview,United Kingdom,K02000001,08/05/2022,10662,53317460
overview,United Kingdom,K02000001,07/05/2022,24460,53306798
overview,United Kingdom,K02000001,06/05/2022,9588,53282338
overview,United Kingdom,K02000001,05/05/2022,8238,53272750
overview,United Kingdom,K02000001,04/05/2022,9080,53264512
overview,United Kingdom,K02000001,03/05/2022,7587,53255432
overview,United Kingdom,K02000001,02/05/2022,5636,53247845
overview,United Kingdom,K02000001,01/05/2022,12021,53242209
overview,United Kingdom,K02000001,30/04/2022,27465,53230188
overview,United Kingdom,K02000001,29/04/2022,11491,53202723
overview,United Kingdom,K02000001,28/04/2022,11079,53191232
overview,United Kingdom,K02000001,27/04/2022,9609,53180153
overview,United Kingdom,K02000001,26/04/2022,9541,53170544
overview,United Kingdom,K02000001,25/04/2022,8959,53161003
overview,United Kingdom,K02000001,24/04/2022,15624,53152044
overview,United Kingdom,K02000001,23/04/2022,31918,53136420
