Region,Date,New Cases,New Cases (cumulative),Reinfections,Reinfections (cumulative),New Daily Deaths,New Daily Deaths (cumulative),New Hospital Admissions,New Hospital Admissions (cumulative),"New Vaccinations, 1st dose","New Vaccinations, 1st dose (cumulative)","New Vaccinations, 2nd dose","New Vaccinations, 2nd dose (cumulative)","New Vaccinations, Booster","New Vaccinations, Booster (cumulative)"
South West,12/07/2022,1879,1836485,356.0,97451.0,,,,,91.0,4623975.0,495.0,4442401.0,518.0,3708049.0
South West,11/07/2022,2756,1834606,552.0,97095.0,3.0,11227.0,208.0,65498.0,82.0,4623884.0,432.0,4441906.0,518.0,3707531.0
South West,10/07/2022,2566,1831850,497.0,96543.0,9.0,11224.0,190.0,65290.0,95.0,4623802.0,519.0,4441474.0,422.0,3707013.0
South West,09/07/2022,2199,1829284,417.0,96046.0,14.0,11215.0,154.0,65100.0,176.0,4623707.0,900.0,4440955.0,642.0,3706591.0
South West,08/07/2022,2615,1827085,466.0,95629.0,5.0,11201.0,146.0,64946.0,88.0,4623531.0,357.0,4440055.0,421.0,3705949.0
South West,07/07/2022,2902,1824470,579.0,95163.0,9.0,11196.0,180.0,64800.0,145.0,4623443.0,625.0,4439698.0,715.0,3705528.0
South West,06/07/2022,3245,1821568,609.0,94584.0,12.0,11187.0,190.0,64620.0,104.0,4623298.0,455.0,4439073.0,544.0,3704813.0
South West,05/07/2022,3457,1818323,635.0,93975.0,9.0,11175.0,173.0,64430.0,108.0,4623194.0,579.0,4438618.0,725.0,3704269.0
South West,04/07/2022,3709,1814866,746.0,93340.0,7.0,11166.0,214.0,64257.0,100.0,4623086.0,448.0,4438039.0,522.0,3703544.0
South West,03/07/2022,3187,1811157,579.0,92594.0,11.0,11159.0,189.0,64043.0,83.0,4622986.0,521.0,4437591.0,311.0,3703022.0
South West,02/07/2022,2531,1807970,408.0,92015.0,13.0,11148.0,160.0,63854.0,163.0,4622903.0,1031.0,4437070.0,776.0,3702711.0
South West,01/07/2022,2775,1805439,492.0,91607.0,8.0,11135.0,136.0,63694.0,65.0,4622740.0,319.0,4436039.0,416.0,3701935.0
South West,30/06/2022,2693,1802664,505.0,91115.0,9.0,11127.0,151.0,63558.0,90.0,4622675.0,383.0,4435720.0,631.0,3701519.0
South West,29/06/2022,2701,1799971,489.0,90610.0,6.0,11118.0,168.0,63407.0,123.0,4622585.0,509.0,4435337.0,794.0,3700888.0
South West,28/06/2022,2688,1797270,444.0,90121.0,9.0,11112.0,141.0,63239.0,117.0,4622462.0,460.0,4434828.0,646.0,3700094.0
South West,27/06/2022,2696,1794582,462.0,89677.0,11.0,11103.0,159.0,63098.0,94.0,4622345.0,440.0,4434368.0,608.0,3699448.0
South West,26/06/2022,2125,1791886,377.0,89215.0,5.0,11092.0,116.0,62939.0,93.0,4622251.0,359.0,4433928.0,366.0,3698840.0
