areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,2022-07-07,2184,919019
overview,United Kingdom,K02000001,2022-07-06,2166,916835
overview,United Kingdom,K02000001,2022-07-05,2155,914669
overview,United Kingdom,K02000001,2022-07-04,2145,912514
overview,United Kingdom,K02000001,2022-07-03,1972,910369
overview,United Kingdom,K02000001,2022-07-02,1580,908397
overview,United Kingdom,K02000001,2022-07-01,1542,906817
overview,United Kingdom,K02000001,2022-06-30,1856,905275
overview,United Kingdom,K02000001,2022-06-29,1826,903419
overview,United Kingdom,K02000001,2022-06-28,1720,901593
overview,United Kingdom,K02000001,2022-06-27,1665,899873
overview,United Kingdom,K02000001,2022-06-26,1469,898208
overview,United Kingdom,K02000001,2022-06-25,1226,896739
overview,United Kingdom,K02000001,2022-06-24,1332,895513
overview,United Kingdom,K02000001,2022-06-23,1463,894181
overview,United Kingdom,K02000001,2022-06-22,1364,892718
overview,United Kingdom,K02000001,2022-06-21,1406,891354
overview,United Kingdom,K02000001,2022-06-20,1264,889948
overview,United Kingdom,K02000001,2022-06-19,1093,888684
overview,United Kingdom,K02000001,2022-06-18,946,887591
overview,United Kingdom,K02000001,2022-06-17,1024,886645
overview,United Kingdom,K02000001,2022-06-16,1007,885621
overview,United Kingdom,K02000001,2022-06-15,1035,884614
overview,United Kingdom,K02000001,2022-06-14,943,883579
overview,United Kingdom,K02000001,2022-06-13,896,882636
overview,United Kingdom,K02000001,2022-06-12,795,881740
overview,United Kingdom,K02000001,2022-06-11,704,880945
overview,United Kingdom,K02000001,2022-06-10,759,880241
overview,United Kingdom,K02000001,2022-06-09,791,879482
overview,United Kingdom,K02000001,2022-06-08,819,878691
overview,United Kingdom,K02000001,2022-06-07,734,877872
overview,United Kingdom,K02000001,2022-06-06,750,877138
overview,United Kingdom,K02000001,2022-06-05,649,876388
overview,United Kingdom,K02000001,2022-06-04,537,875739
overview,United Kingdom,K02000001,2022-06-03,508,875202
overview,United Kingdom,K02000001,2022-06-02,536,874694
overview,United Kingdom,K02000001,2022-06-01,598,874158
overview,United Kingdom,K02000001,2022-05-31,602,873560
overview,United Kingdom,K02000001,2022-05-30,587,872958
overview,United Kingdom,K02000001,2022-05-29,532,872371
overview,United Kingdom,K02000001,2022-05-28,467,871839
overview,United Kingdom,K02000001,2022-05-27,538,871372
overview,United Kingdom,K02000001,2022-05-26,514,870834
overview,United Kingdom,K02000001,2022-05-25,604,870320
overview,United Kingdom,K02000001,2022-05-24,595,869716
overview,United Kingdom,K02000001,2022-05-23,601,869121
overview,United Kingdom,K02000001,2022-05-22,542,868520
overview,United Kingdom,K02000001,2022-05-21,460,867978
overview,United Kingdom,K02000001,2022-05-20,539,867518
overview,United Kingdom,K02000001,2022-05-19,660,866979
overview,United Kingdom,K02000001,2022-05-18,731,866319
overview,United Kingdom,K02000001,2022-05-17,680,865588
overview,United Kingdom,K02000001,2022-05-16,696,864908
overview,United Kingdom,K02000001,2022-05-15,639,864212
overview,United Kingdom,K02000001,2022-05-14,621,863573
overview,United Kingdom,K02000001,2022-05-13,640,862952
overview,United Kingdom,K02000001,2022-05-12,795,862312
overview,United Kingdom,K02000001,2022-05-11,784,861517
overview,United Kingdom,K02000001,2022-05-10,873,860733
overview,United Kingdom,K02000001,2022-05-09,856,859860
overview,United Kingdom,K02000001,2022-05-08,759,859004
overview,United Kingdom,K02000001,2022-05-07,710,858245
overview,United Kingdom,K02000001,2022-05-06,829,857535
overview,United Kingdom,K02000001,2022-05-05,877,856706
overview,United Kingdom,K02000001,2022-05-04,1011,855829
overview,United Kingdom,K02000001,2022-05-03,1027,854818
overview,United Kingdom,K02000001,2022-05-02,950,853791
overview,United Kingdom,K02000001,2022-05-01,910,852841
overview,United Kingdom,K02000001,2022-04-30,831,851931
overview,United Kingdom,K02000001,2022-04-29,1005,851100
overview,United Kingdom,K02000001,2022-04-28,1078,850095
overview,United Kingdom,K02000001,2022-04-27,1232,849017
overview,United Kingdom,K02000001,2022-04-26,1258,847785
overview,United Kingdom,K02000001,2022-04-25,1280,846527
overview,United Kingdom,K02000001,2022-04-24,1190,845247
overview,United Kingdom,K02000001,2022-04-23,1206,844057
overview,United Kingdom,K02000001,2022-04-22,1366,842851
overview,United Kingdom,K02000001,2022-04-21,1439,841485
overview,United Kingdom,K02000001,2022-04-20,1508,840046
overview,United Kingdom,K02000001,2022-04-19,1625,838538
overview,United Kingdom,K02000001,2022-04-18,1666,836913
overview,United Kingdom,K02000001,2022-04-17,1492,835247
overview,United Kingdom,K02000001,2022-04-16,1449,833755
overview,United Kingdom,K02000001,2022-04-15,1648,832306
overview,United Kingdom,K02000001,2022-04-14,1902,830658
overview,United Kingdom,K02000001,2022-04-13,2117,828756
overview,United Kingdom,K02000001,2022-04-12,2247,826639
overview,United Kingdom,K02000001,2022-04-11,2116,824392
overview,United Kingdom,K02000001,2022-04-10,1995,822276
overview,United Kingdom,K02000001,2022-04-09,1906,820281
overview,United Kingdom,K02000001,2022-04-08,2000,818375
overview,United Kingdom,K02000001,2022-04-07,2267,816375
